🎬 Titre;📅 Année;🏷️ Type;🎯 Thème;🏟️ Club-sélection;👥 Personnages clés;Date diffusion;📺 Diffuseur;🗣️ Langue;Qualité;⏳ Durée (min);🎞️ Série-Collection;Commentaires sur fichier
Coupe du Monde 1998 - Les meilleurs joueurs;1998;Compilation, Rétrospective;Coupe du monde 1998, Joueurs, Performances;;Davor Šuker, Dennis Bergkamp, Ronaldo Nazário, Zinedine Zidane;;TF1;Français;MP4;0;;Titre correspondant à une édition vidéo annoncée à l'automne 1998.
Coupe du Monde 1998 - France-Croatie (2-1);1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Demi-finale, Sélections nationales, Équipe de France;Croatie, France;Davor Šuker, Lilian Thuram;08/07/1998;;;;5;;
Garden-party de l'Élysée - 14 juillet 1998;1998;Archive TV, Émission spéciale;Coupe du monde 1998, Célébrations, Politique, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Jacques Chirac, Zinedine Zidane;14/07/1998;France 2;Français;MP4;0;;Date tirée explicitement du titre 
Réaction Jacques Chirac;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;Jacques Chirac;;;;;0;;
Coupe du Monde 1998 - Tous les buts de l'équipe de France en direct;1998;Archive TV, Compilation;Buts, Coupe du monde 1998, Équipe de France;France;Christophe Dugarry, Emmanuel Petit, Lilian Thuram, Thierry Henry, Zinedine Zidane;;TF1;Français;MP4;0;;Compilation des buts des Bleus avec commentaires TV d'époque.
La Coupe de la Gloire - Film officiel de la Coupe du Monde 1998;1998;Documentaire, Film officiel;Coupe du Monde (général), Coupe du monde 1998, Histoire du football, Sélections nationales;;Davor Šuker, Dennis Bergkamp, Ronaldo Nazário, Zinedine Zidane;;FIFA;Français;MKV;85;FIFA World Cup Official Film;Version française du film officiel FIFA. Réalisation : Drummond Challis et David Wooster.
Eurogoals - 25 janvier;1998;Magazine TV;Magazine football;;;25/01/1998;Eurosport;Français;;0;Eurogoals;
20h France 2 du 27 janvier 1998 Perquisitions chez Roland Dumas Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;27/01/1998;France 2;Français;;40;Journal de France 2;Archive INA.
TF1 - 28 janvier 1998 - Inauguration Stade de France (Doc-PARTIEL);1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;28/01/1998;TF1;Français;;43;;
TF1 - 28 janvier 1998 - Inauguration Stade de France (Spectacle);1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;28/01/1998;TF1;Français;;46;;
20h France 2 du 28 janvier 1998 L'inauguration du Stade de France Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;28/01/1998;France 2;Français;;41;Journal de France 2;Archive INA.
Formule Foot - 7 mars;1998;Magazine TV;Ligue 1, Magazine football;;;07/03/1998;TF1;Français;;0;Formule Foot;
Un Monde Foot (Partiel);1998;Documentaire;Football;;;07/05/1998;France 2;Français;;0;;Fichier partiel
Téléfoot - 10 mai;1998;Magazine TV;Magazine football;RC Lens;;10/05/1998;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Europe des Onze - 11 mai;1998;Magazine TV;Championnats européens, Magazine football;;;11/05/1998;Canal+ Belgique;Français;;0;Europe des Onze;
20h France 2 du 23 MAI 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;23/05/1998;France 2;Français;;38;Journal de France 2;
20h France 2 du 25 mai 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;25/05/1998;France 2;Français;;39;Journal de France 2;
20h France 2 du 26 mai 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;26/05/1998;France 2;Français;;39;Journal de France 2;
20h France 2 du 27 mai 1998 - France 98 Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;27/05/1998;France 2;Français;;40;Journal de France 2;Archive INA.
20h France 2 du 1ER JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;01/06/1998;France 2;Français;;38;Journal de France 2;
20h France 2 du 2 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;02/06/1998;France 2;Français;;0;Journal de France 2;
20h France 2 du 3 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;03/06/1998;France 2;Français;;41;Journal de France 2;
20h France 2 du 4 juin 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;04/06/1998;France 2;Français;;40;Journal de France 2;
20h France 2 du 5 juin 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;05/06/1998;France 2;Français;;39;Journal de France 2;
La Cinquième - 7 Juin 1998 - La planète ronde (Partie 1);1998;Compilation;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;07/06/1998;La Cinquième;Français;;53;;
La Cinquième - 7 Juin 1998 - La planète ronde (Partie 2);1998;Compilation;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;07/06/1998;La Cinquième;Français;;31;;
20h France 2 du 7 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;07/06/1998;France 2;Français;;38;Journal de France 2;
20h France 2 du 8 juin 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;08/06/1998;France 2;Français;;39;Journal de France 2;
Un Monde de Géant - Spectacle de la Coupe du Monde 1998;1998;Archive TV, Émission spéciale;Coupe du Monde (général), Coupe du monde 1998, Culture football, Cérémonie, Sélections nationales, Équipe de France;France;;09/06/1998;TF1;Français;;184;;
France 3 - 9 Juin 1998 - Tout le Sport + Journal de la Coupe;1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;09/06/1998;France 3;Français;;23;Tout le Sport;
20h France 2 du 9 juin 1998 - Lancement de la Coupe du Monde de Football Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;09/06/1998;France 2;Français;;39;Journal de France 2;Archive INA.
TF1 20H Titre 09061998 début coupe du monde 1998 (PPDA);1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;09/06/1998;TF1;Français;;0;;
20h France 2 du 10 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;10/06/1998;France 2;Français;;40;Journal de France 2;
20h France 2 du 11 JUIN 1998 fin de l'affaire Auroez Drossard Yves Montand - Archive INA;1998;Archive TV;Affaires et scandales, Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;11/06/1998;France 2;Français;;31;Journal de France 2;Archive INA.
20h France 2 du 12 juin 1998 Les Bleus débutent la Coupe du Monde Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/06/1998;France 2;Français;;38;Journal de France 2;Archive INA.
20h France 2 du 13 juin 1998 - Disparition d'Eric Tabarly Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;13/06/1998;France 2;Français;;39;Journal de France 2;Archive INA.
20h France 2 du 14 juin 1998 Dispartion d'Éric Tabarly - Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;14/06/1998;France 2;Français;;31;Journal de France 2;Archive INA.
France 3 - 15 Juin 1998 - Tout le Sport + Journal de la Coupe;1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;15/06/1998;France 3;Français;;28;Tout le Sport;
20h France 2 du EMISSION DU 15 JUIN 1998 - archive vidéo INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;15/06/1998;France 2;Français;;40;Journal de France 2;
20h France 2 du 16 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;16/06/1998;France 2;Français;;40;Journal de France 2;
20h France 2 du 17 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;17/06/1998;France 2;Français;;40;Journal de France 2;
20h France 2 du 18 juin 1998 Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;18/06/1998;France 2;Français;;39;Journal de France 2;Archive INA.
TF1 - 19 Juin 1998 - Pubs et BA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;19/06/1998;TF1;Français;;28;;
20h France 2 du 20 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;20/06/1998;France 2;Français;;31;Journal de France 2;
20h France 2 du 21 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;21/06/1998;France 2;Français;;38;Journal de France 2;
20h France 2 du 22 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;22/06/1998;France 2;Français;;40;Journal de France 2;
20h France 2 du 23 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;23/06/1998;France 2;Français;;31;Journal de France 2;
20h France 2 du 24 juin 1998 La France qualifiée face au Danemark Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;24/06/1998;France 2;Français;;40;Journal de France 2;Archive INA.
20h France 2 du 25 juin 1998 Disparition de Lounès Matoub Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;25/06/1998;France 2;Français;;32;Journal de France 2;Archive INA.
20h France 2 du 26 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;26/06/1998;France 2;Français;;39;Journal de France 2;
France 3 - 27 Juin 1998 - Tout le Sport + Journal de la Coupe (Partiel);1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;27/06/1998;France 3;Français;;15;Tout le Sport;
RTBF2 - 27 Juin 1998 - Journal de la Coupe (Edition Soir);1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;27/06/1998;RTBF;Français;;29;;
20h France 2 du 27 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;27/06/1998;France 2;Français;;38;Journal de France 2;
20h France 2 du 28 juin 1998 Les bleus en 18 de finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;28/06/1998;France 2;Français;;35;Journal de France 2;Archive INA.
20h France 2 du 29 juin 1998 Les Bleus prêts pour les 14 de finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;29/06/1998;France 2;Français;;41;Journal de France 2;Archive INA.
20h France 2 du 30 JUIN 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;30/06/1998;France 2;Français;;41;Journal de France 2;
20h France 2 du 1 juillet 1998 L'équipe de France prépare son quart de finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;01/07/1998;France 2;Français;;40;Journal de France 2;Archive INA.
20h France 2 du 2 juillet 1998 6 mois de prison ferme pour Bernard Tapie Archive INA;1998;Archive TV;Affaires et scandales, Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;02/07/1998;France 2;Français;;41;Journal de France 2;Archive INA.
20h France 2 du 3 JUILLET 1998 La France va en 12 finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;03/07/1998;France 2;Français;;31;Journal de France 2;Archive INA.
20h France 2 du 4 juillet 1998 Les bleus se préparent à Clairefontaine Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Formation, Sélections nationales, Équipe de France;France;;04/07/1998;France 2;Français;;38;Journal de France 2;Archive INA.
20h France 2 du 5 juillet 1998 Les bleus en route pour la 12 finale du mondial 1998 Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;05/07/1998;France 2;Français;;39;Journal de France 2;Archive INA.
France 3 - 6 Juillet 1998 - Tout le Sport & Journal de la Coupe du Monde;1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;06/07/1998;France 3;Français;;24;Tout le Sport;
20h France 2 du 6 juillet 1998 Le plan Aubry Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;06/07/1998;France 2;Français;;41;Journal de France 2;Archive INA.
France 3 - 7 Juillet 1998 - Tout le Sport + Journal de la coupe;1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;07/07/1998;France 3;Français;;19;Tout le Sport;
20h France du 7 juillet 1998 Brésil Pays-bas pour une place en finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;07/07/1998;;Français;;34;;Archive INA.
20h France 2 du 8 juillet 1998 Ambiance avant la 12 finale de France 98 Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;08/07/1998;France 2;Français;;40;Journal de France 2;Archive INA.
20h France 2 du 9 juillet 1998 Les bleus vont en finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;09/07/1998;France 2;Français;;40;Journal de France 2;Archive INA.
20h France 2 du 10 juillet 1998 La France toucher par la grâce du Football Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;10/07/1998;France 2;Français;;39;Journal de France 2;Archive INA.
20h France 2 du 11 juillet 1998 Le grand départ du Tour de France Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;11/07/1998;France 2;Français;;37;Journal de France 2;Archive INA.
12 juillet 98 la soirée et la fête à Toulouse;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/07/1998;;;;2;;
1998-07-12 - Téléfoot - TF1;1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/07/1998;TF1;Français;;88;;
France 98 souvenez-vous de ce 12 juillet;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/07/1998;;;;5;;
Zapping Canal+ - Finale France-Brésil - 12 juillet 1998;1998;Archive TV, Compilation;Coupe du Monde (général), Coupe du monde 1998, Finale, Sélections nationales, Équipe de France;Brésil, France;;12/07/1998;Canal+;Français;;6;;
RTBF2 - 12 Juillet 1998 - Journal de la Coupe (CdM 98);1998;Magazine TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/07/1998;RTBF;Français;;36;;
20h France 2 du 12 juillet 1998 La France en Finale Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/07/1998;France 2;Français;;43;Journal de France 2;Archive INA.
Journal de 20h avant finale Coupe du Monde 98 - TF1 - 12 juillet 1998;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/07/1998;TF1;Français;;36;;
JT 13h Finale Mondial 98 - France 2 - Dimanche 12 juillet 1998 partiel;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;12/07/1998;France 2;Français;;21;Journal de France 2;
Téléfoot - 12 juillet;1998;Magazine TV;Magazine football;;;12/07/1998;TF1;Français;;0;Téléfoot;
20h France 2 du 13 juillet 1998 Les Bleus champions du monde Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;13/07/1998;France 2;Français;;45;Journal de France 2;Archive INA.
JT 20h;1998;Archive TV, Émission spéciale;Football;;;13/07/1998;;;;0;;
France 98 La Garden Party du 14 juillet en intégralité Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;14/07/1998;;Français;;21;;Archive INA.
20h France 2 du 14 juillet 1998 Les Bleus à l'Elysée Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;14/07/1998;France 2;Français;;46;Journal de France 2;Archive INA.
Les Yeux dans les Bleus + bonus;1998;Documentaire;Coupe du Monde (général), Sélections nationales, Équipe de France;France;;14/07/1998;Canal+;Français;;157;;Le nom du fichier mentionne « + bonus »
Téléfoot - 13 septembre;1998;Magazine TV;Magazine football;;;13/09/1998;TF1;Français;;0;Téléfoot;
Téléfoot - 22 novembre;1998;Magazine TV;Magazine football;;;22/11/1998;TF1;Français;;0;Téléfoot;
Téléfoot - 13 décembre;1998;Magazine TV;Magazine football;;;13/12/1998;TF1;Français;;0;Téléfoot;Fichier incomplet
Le Zapping - Coupe du Monde 1998;1998;Archive TV, Compilation;Coupe du monde 1998, Médias, Télévision;;;;Canal+;Français;AVI;0;Le Zapping;Montage de séquences télévisées autour du Mondial 1998.
Coupe du Monde 1998 - Émission spéciale;1998;Archive TV, Émission spéciale;Coupe du monde 1998, Équipe de France;France;;;TF1;Français;MKV;0;;Le nom d'origine contient la mention « Eric Zabel », qui semble incohérente avec le football 
Coupe du Monde 1998 - Tous les buts - TV françaises;1998;Archive TV, Compilation;Archives TV, Buts, Coupe du monde 1998;;;;;Français;WMV;0;;Montage de buts à partir de diffusions télévisées françaises 
Coupe du Monde 1998 - Tous les buts - Sans commentaires;1998;Compilation;Buts, Coupe du monde 1998;;;;;Sans commentaires;AVI;0;;Compilation de tous les buts du tournoi sans commentaire.
Stade 2 - Coupe du Monde 1998 - Extrait;1998;Archive TV, Magazine TV;Coupe du monde 1998, Magazine sportif;;;;France 2;Français;MP4;0;Stade 2;Extrait d'émission consacré au Mondial 1998.
Coupe du Monde 1998 - Rétrospective - Partie 4;1998;Archive TV, Rétrospective;Coupe du monde 1998, Sélections nationales, Temps forts;;;;France Télévisions;Français;MP4;0;Coupe du Monde 1998 - Rétrospective France TV;Partie 4 sur 4 d'une rétrospective France Télévisions.
Coupe du Monde 1998 - Rétrospective - Partie 3;1998;Archive TV, Rétrospective;Coupe du monde 1998, Sélections nationales, Temps forts;;;;France Télévisions;Français;MP4;0;Coupe du Monde 1998 - Rétrospective France TV;Partie 3 sur 4 d'une rétrospective France Télévisions.
Coupe du Monde 1998 - Rétrospective - Partie 2;1998;Archive TV, Rétrospective;Coupe du monde 1998, Sélections nationales, Temps forts;;;;France Télévisions;Français;MP4;0;Coupe du Monde 1998 - Rétrospective France TV;Partie 2 sur 4 d'une rétrospective France Télévisions.
Coupe du Monde 1998 - Rétrospective - Partie 1;1998;Archive TV, Rétrospective;Coupe du monde 1998, Sélections nationales, Temps forts;;;;France Télévisions;Français;MP4;0;Coupe du Monde 1998 - Rétrospective France TV;Partie 1 sur 4 d'une rétrospective France Télévisions.
L'Esprit de la Coupe du Monde 1998;1998;Documentaire, Rétrospective;Ambiance, Coupe du monde 1998, Supporters, Sélections nationales;;;;Eurosport;Français;MKV;0;;Rétrospective Eurosport consacrée à l'ambiance et aux temps forts du tournoi.
Coupe du Monde 1998 - Les plus beaux moments;1998;Compilation, Rétrospective;Coupe du monde 1998, Temps forts;;;;TF1;Français;AVI;0;;Probable variante/édition vidéo des grands moments du Mondial.
Coupe du Monde 1998 - Les instants magiques;1998;Compilation, Rétrospective;Coupe du monde 1998, Temps forts;;;;TF1;Français;MP4;0;;Compilation de temps forts 
Les Guignols de l'info - Coupe du Monde 1998;1998;Archive TV, Émission humoristique;Coupe du monde 1998, Humour, Médias, Satire;;;;Canal+;Français;MP4;0;Les Guignols de l'info;Compilation/séquences des Guignols consacrées au Mondial 1998.
1998 La France dans la rue;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;;97;;
Brésil - Pays-bas (1-1 4-2) Coupe du Monde 98 Telefoot;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;;4;;
Cérémonie d'ouverture de la Coupe du Monde 98 au Stade de France Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;1;;Archive INA.
Coupe du Monde 98 - Le jour d'après (VHS RIP);1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;VHS;298;;
coupe du monde 98 LES PLUS BEAUX MOMENTS;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;;56;;
Députés et mondial;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;;1;;
Coupe du Monde 1998 - Documentaire;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;;83;;
France 98 dans la foule sur les Champs-Elysées Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;3;;Archive INA.
France 98 En route vers la victoire Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;45;;Archive INA.
France 98 La finale sur écran géant à Colombes Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 la folie bleue Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;4;;Archive INA.
France 98 la folie des maillots de l'équipe de France Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;L'Équipe;Français;;2;;Archive INA.
France 98 La folie des supporters Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 la France en effervescence Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 la mode des maillots bleus Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 Les Bleus ont reçu la Légion d'Honneur à l'Elysée Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 La nuit de la victoire sur les Champs Elysées Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 Les femmes joueurs de l'équipe de France Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Football féminin, Sélections nationales, Équipe de France;France;;;L'Équipe;Français;;2;;Archive INA.
France 98 Nuit de fête sur les Champs-Elysées après la victoire Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 La finale aux Francs Moisins à Saint-Denis Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 Les Bleus sur les Champs Elysées Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 98 Les Bleus sur les Champs-Elysées - Archive vidéo INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
France 1998 les souvenirs du chauffeur et de l'intendant des Bleus;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Histoire du football, Sélections nationales, Équipe de France;France;;;;Français;;5;;
I will survive l'histoire étonnante de l'hymne des Bleus au Mondial 1998;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Histoire du football, Sélections nationales, Équipe de France;France;;;;Français;;2;;
La construction du Stade de France - Archive vidéo INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;1;;Archive INA.
La mode des maillots bleus pour la coupe du monde - Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Supporters, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
L'équipe de France de football se prépare à France 98 Archive INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;L'Équipe;Français;;2;;Archive INA.
Les Bleus à la garden-party de l'Elysée - Archive vidéo INA;1998;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
Mondial 1998 quand les Bleus entrent dans l'histoire;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Histoire du football, Sélections nationales, Équipe de France;France;;;;Français;;1;;
Réactions des ministres sur le mondial de football;1998;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;;2;;
tout les buts du mondial 98;1998;Compilation;Buts, Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;;;62;;
Campionato io ti amo - Saison 1997-1998;1998;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Équipe de france Coupe Du Monde;1998;Documentaire;Coupe du Monde (général), Sélections nationales, Équipe de France;France;;;;;;0;;
Formule Foot - 1997-98 - J03;1998;Magazine TV;Ligue 1, Magazine football;;;;TF1;Français;;0;Formule Foot;
Générations tricolores;1998;Reportage;Coupe du monde 1998, Équipe de France;France;;;France 2;Français;;0;Envoyé spécial;Identification fondée sur le nom du fichier, qui mentionne « Envoyé Spécial Juin 98 »
Téléfoot - 1998 (Téléfoot en direct de Bollaert pour féter le titre);1998;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - au stade Bollaert pour le titre de champion de France de Lens en;1998;Magazine TV;Magazine football;RC Lens;;;TF1;Français;;0;Téléfoot;
Téléfoot - spécial Multiplex Radio en septembre;1998;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
France 2 Bouillon de Culture Aimé Jacquet;1999;Documentaire;Portrait;;Aimé Jacquet;03/06/1999;France 2;Français;;0;;
Fréquenstar - Spécial France 98;1999;Magazine TV;Coupe du monde 1998, Médias, Portrait, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;M6;Français;MP4;0;Fréquenstar;Épisode football exact et invité principal non identifiés avec suffisamment de certitude.
Europe des Onze - 18 janvier;1999;Magazine TV;Championnats européens, Magazine football;;;18/01/1999;Canal+ Belgique;Français;;0;Europe des Onze;
